01132B3D2CR0000060000031,PVM-000086H03
01135B2D7DRC20000AU00031,C35+0575125140
01135B2D7DSC20000AU00031,C35+0600125140
01135B2D7CSC30000AU00031,C35+0025175140
01135B2D7CTC30000AU00031,C35+0050175140
01135B2D7CUC30000AU00031,C35+0075175140
01135B2D7CVC30000AU00031,C35+0100175140
01135B2D7CWC30000AU00031,C35+0125175140
01135B2D7CYC30000AU00031,C35+0150175140
01135B2D7CXC30000AU00031,C35+0175175140
01135B2D7CZC30000AU00031,C35+0200175140
01135B2D7DAC30000AU00031,C35+0225175140
01135B2D7DBC30000AU00031,C35+0250175140
01135B2D7DCC30000AU00031,C35+0275175140
01135B2D7DEC30000AU00031,C35+0300175140
01135B2D7DFC30000AU00031,C35+0325175140
01135B2D7DGC30000AU00031,C35+0350175140
01135B2D7DHC30000AU00031,C35+0375175140
01135B2D7DJC30000AU00031,C35+0400175140
01135B2D7DKC30000AU00031,C35+0425175140
01135B2D7DLC30000AU00031,C35+0450175140
01135B2D7DMC30000AU00031,C35+0475175140
01135B2D7DNC30000AU00031,C35+0500175140
01135B2D7DPC30000AU00031,C35+0525175140
01135B2D7DQC30000AU00031,C35+0550175140
01135B2D7DRC30000AU00031,C35+0575175140
01135B2D7DSC30000AU00031,C35+0600175140
01135B2D7CSC40000AU00031,C35+0025225140
01135B2D7CTC40000AU00031,C35+0050225140
01135B2D7CUC40000AU00031,C35+0075225140
01135B2D7CVC40000AU00031,C35+0100225140
01135B2D7CWC40000AU00031,C35+0125225140
01135B2D7CYC40000AU00031,C35+0150225140
01135B2D7CXC40000AU00031,C35+0175225140
01135B2D7CZC40000AU00031,C35+0200225140
01135B2D7DAC40000AU00031,C35+0225225140
01135B2D7DBC40000AU00031,C35+0250225140
01135B2D7DCC40000AU00031,C35+0275225140
01135B2D7DEC40000AU00031,C35+0300225140
01135B2D7DFC40000AU00031,C35+0325225140
01135B2D7DGC40000AU00031,C35+0350225140
01135B2D7DHC40000AU00031,C35+0375225140
01135B2D7DJC40000AU00031,C35+0400225140
01135B2D7DKC40000AU00031,C35+0425225140
01135B2D7DLC40000AU00031,C35+0450225140
01135B2D7DMC40000AU00031,C35+0475225140
01135B2D7DNC40000AU00031,C35+0500225140
01135B2D7DPC40000AU00031,C35+0525225140
01135B2D7DQC40000AU00031,C35+0550225140
01135B2D7DRC40000AU00031,C35+0575225140
01135B2D7DSC40000AU00031,C35+0600225140
01135B2D7CRC10000AW00031,C35-0000075150
01135B2D7CQC10000AW00031,C35-0025075150
01135B2D7CPC10000AW00031,C35-0050075150
01135B2D7CNC10000AW00031,C35-0075075150
01135B2D7CMC10000AW00031,C35-0100075150
01135B2D7CLC10000AW00031,C35-0125075150
01135B2D7CKC10000AW00031,C35-0150075150
01135B2D7CJC10000AW00031,C35-0175075150
01135B2D7CHC10000AW00031,C35-0200075150
01135B2D7CGC10000AW00031,C35-0225075150
01135B2D7CFC10000AW00031,C35-0250075150
01135B2D7CEC10000AW00031,C35-0275075150
01135B2D7CDC10000AW00031,C35-0300075150
01135B2D7CBC10000AW00031,C35-0325075150
01135B2D7CAC10000AW00031,C35-0350075150
01135B2D7BZC10000AW00031,C35-0375075150
01135B2D7BYC10000AW00031,C35-0400075150
01135B2D7BXC10000AW00031,C35-0425075150
01135B2D7BWC10000AW00031,C35-0450075150
01135B2D7BVC10000AW00031,C35-0475075150
01135B2D7BUC10000AW00031,C35-0500075150
01135B2D7BTC10000AW00031,C35-0525075150
01135B2D7BSC10000AW00031,C35-0550075150
01135B2D7BRC10000AW00031,C35-0575075150
01135B2D7BQC10000AW00031,C35-0600075150
01135B2D7BNC10000AW00031,C35-0650075150
01135B2D7BLC10000AW00031,C35-0700075150
01135B2D7BJC10000AW00031,C35-0750075150
01135B2D7BGC10000AW00031,C35-0800075150
01135B2D7BEC10000AW00031,C35-0850075150
01135B2D7BCC10000AW00031,C35-0900075150
01135B2D7CRC20000AW00031,C35-0000125150
01135B2D7CQC20000AW00031,C35-0025125150
01135B2D7CPC20000AW00031,C35-0050125150
01135B2D7CNC20000AW00031,C35-0075125150
01135B2D7CMC20000AW00031,C35-0100125150
01135B2D7CLC20000AW00031,C35-0125125150
01135B2D7CKC20000AW00031,C35-0150125150
01135B2D7CJC20000AW00031,C35-0175125150
01135B2D7CHC20000AW00031,C35-0200125150
01135B2D7CGC20000AW00031,C35-0225125150
01135B2D7CFC20000AW00031,C35-0250125150
01135B2D7CEC20000AW00031,C35-0275125150
01135B2D7CDC20000AW00031,C35-0300125150
01135B2D7CBC20000AW00031,C35-0325125150
01135B2D7CAC20000AW00031,C35-0350125150
01135B2D7BZC20000AW00031,C35-0375125150
01135B2D7BYC20000AW00031,C35-0400125150
01135B2D7BXC20000AW00031,C35-0425125150
01135B2D7BWC20000AW00031,C35-0450125150
01135B2D7BVC20000AW00031,C35-0475125150
01135B2D7BUC20000AW00031,C35-0500125150
01135B2D7BTC20000AW00031,C35-0525125150
01135B2D7BSC20000AW00031,C35-0550125150
01135B2D7BRC20000AW00031,C35-0575125150
01135B2D7BQC20000AW00031,C35-0600125150
01135B2D7BNC20000AW00031,C35-0650125150
01135B2D7BLC20000AW00031,C35-0700125150
01135B2D7BJC20000AW00031,C35-0750125150
01135B2D7BGC20000AW00031,C35-0800125150
01135B2D7BEC20000AW00031,C35-0850125150
01135B2D7BCC20000AW00031,C35-0900125150
01135B2D7CRC30000AW00031,C35-0000175150
01135B2D7CQC30000AW00031,C35-0025175150
01135B2D7CPC30000AW00031,C35-0050175150
01135B2D7CNC30000AW00031,C35-0075175150
01135B2D7CMC30000AW00031,C35-0100175150
01135B2D7CLC30000AW00031,C35-0125175150
01135B2D7CKC30000AW00031,C35-0150175150
01135B2D7CJC30000AW00031,C35-0175175150
01135B2D7CHC30000AW00031,C35-0200175150
01135B2D7CGC30000AW00031,C35-0225175150
01135B2D7CFC30000AW00031,C35-0250175150
01135B2D7CEC30000AW00031,C35-0275175150
01135B2D7CDC30000AW00031,C35-0300175150
01135B2D7CBC30000AW00031,C35-0325175150
01135B2D7CAC30000AW00031,C35-0350175150
01135B2D7BZC30000AW00031,C35-0375175150
01135B2D7BYC30000AW00031,C35-0400175150
01135B2D7BXC30000AW00031,C35-0425175150
01135B2D7BWC30000AW00031,C35-0450175150
01135B2D7BVC30000AW00031,C35-0475175150
01135B2D7BUC30000AW00031,C35-0500175150
01135B2D7BTC30000AW00031,C35-0525175150
01135B2D7BSC30000AW00031,C35-0550175150
01135B2D7BRC30000AW00031,C35-0575175150
01135B2D7BQC30000AW00031,C35-0600175150
01135B2D7BNC30000AW00031,C35-0650175150
01135B2D7BLC30000AW00031,C35-0700175150
01135B2D7BJC30000AW00031,C35-0750175150
01135B2D7BGC30000AW00031,C35-0800175150
01135B2D7BEC30000AW00031,C35-0850175150
01135B2D7BCC30000AW00031,C35-0900175150
01135B2D7CRC40000AW00031,C35-0000225150
01135B2D7CQC40000AW00031,C35-0025225150
01135B2D7CPC40000AW00031,C35-0050225150
01135B2D7CNC40000AW00031,C35-0075225150
01135B2D7CMC40000AW00031,C35-0100225150
01135B2D7CLC40000AW00031,C35-0125225150
01135B2D7CKC40000AW00031,C35-0150225150
01135B2D7CJC40000AW00031,C35-0175225150
01135B2D7CHC40000AW00031,C35-0200225150
01135B2D7CGC40000AW00031,C35-0225225150
01135B2D7CFC40000AW00031,C35-0250225150
01135B2D7CEC40000AW00031,C35-0275225150
01135B2D7CDC40000AW00031,C35-0300225150
01135B2D7CBC40000AW00031,C35-0325225150
01135B2D7CAC40000AW00031,C35-0350225150
01135B2D7BZC40000AW00031,C35-0375225150
01135B2D7BYC40000AW00031,C35-0400225150
01135B2D7BXC40000AW00031,C35-0425225150
01135B2D7BWC40000AW00031,C35-0450225150
01135B2D7BVC40000AW00031,C35-0475225150
01135B2D7BUC40000AW00031,C35-0500225150
01135B2D7BTC40000AW00031,C35-0525225150
01135B2D7BSC40000AW00031,C35-0550225150
01135B2D7BRC40000AW00031,C35-0575225150
01135B2D7BQC40000AW00031,C35-0600225150
01135B2D7BNC40000AW00031,C35-0650225150
01135B2D7BLC40000AW00031,C35-0700225150
01135B2D7BJC40000AW00031,C35-0750225150
01135B2D7BGC40000AW00031,C35-0800225150
01135B2D7BEC40000AW00031,C35-0850225150
01135B2D7BCC40000AW00031,C35-0900225150
01135B2D7CRC70000AW00031,C35-0000275150
01135B2D7CQC70000AW00031,C35-0025275150
01135B2D7CPC70000AW00031,C35-0050275150
01135B2D7CNC70000AW00031,C35-0075275150
01135B2D7CMC70000AW00031,C35-0100275150
01135B2D7CLC70000AW00031,C35-0125275150
01135B2D7CKC70000AW00031,C35-0150275150
01135B2D7CJC70000AW00031,C35-0175275150
01135B2D7CHC70000AW00031,C35-0200275150
01135B2D7CGC70000AW00031,C35-0225275150
01135B2D7CFC70000AW00031,C35-0250275150
01135B2D7CEC70000AW00031,C35-0275275150
01135B2D7CDC70000AW00031,C35-0300275150
01135B2D7CBC70000AW00031,C35-0325275150
01135B2D7CAC70000AW00031,C35-0350275150
01135B2D7BZC70000AW00031,C35-0375275150
01135B2D7BYC70000AW00031,C35-0400275150
01135B2D7BXC70000AW00031,C35-0425275150
01135B2D7BWC70000AW00031,C35-0450275150
01135B2D7BVC70000AW00031,C35-0475275150
01135B2D7BUC70000AW00031,C35-0500275150
01135B2D7BTC70000AW00031,C35-0525275150
01135B2D7BSC70000AW00031,C35-0550275150
01135B2D7BRC70000AW00031,C35-0575275150
01135B2D7BQC70000AW00031,C35-0600275150
01135B2D7BNC70000AW00031,C35-0650275150
01135B2D7BLC70000AW00031,C35-0700275150
01135B2D7BJC70000AW00031,C35-0750275150
01135B2D7BGC70000AW00031,C35-0800275150
01135B2D7BEC70000AW00031,C35-0850275150
01135B2D7BCC70000AW00031,C35-0900275150
01135B2D7CSC10000AW00031,C35+0025075150
01135B2D7CTC10000AW00031,C35+0050075150
01135B2D7CUC10000AW00031,C35+0075075150
01135B2D7CVC10000AW00031,C35+0100075150
01135B2D7CWC10000AW00031,C35+0125075150
01135B2D7CYC10000AW00031,C35+0150075150
01135B2D7CXC10000AW00031,C35+0175075150
01135B2D7CZC10000AW00031,C35+0200075150
01135B2D7DAC10000AW00031,C35+0225075150
01135B2D7DBC10000AW00031,C35+0250075150
01135B2D7DCC10000AW00031,C35+0275075150
01135B2D7DEC10000AW00031,C35+0300075150
01135B2D7DFC10000AW00031,C35+0325075150
01135B2D7DGC10000AW00031,C35+0350075150
01135B2D7DHC10000AW00031,C35+0375075150
01135B2D7DJC10000AW00031,C35+0400075150
01135B2D7DKC10000AW00031,C35+0425075150
01135B2D7DLC10000AW00031,C35+0450075150
01135B2D7DMC10000AW00031,C35+0475075150
01135B2D7DNC10000AW00031,C35+0500075150
01135B2D7DPC10000AW00031,C35+0525075150
01135B2D7DQC10000AW00031,C35+0550075150
01135B2D7DRC10000AW00031,C35+0575075150
01135B2D7DSC10000AW00031,C35+0600075150
01135B2D7CSC20000AW00031,C35+0025125150
01135B2D7CTC20000AW00031,C35+0050125150
01135B2D7CUC20000AW00031,C35+0075125150
01135B2D7CVC20000AW00031,C35+0100125150
01135B2D7CWC20000AW00031,C35+0125125150
01135B2D7CYC20000AW00031,C35+0150125150
01135B2D7CXC20000AW00031,C35+0175125150
01135B2D7CZC20000AW00031,C35+0200125150
01135B2D7DAC20000AW00031,C35+0225125150
01135B2D7DBC20000AW00031,C35+0250125150
01135B2D7DCC20000AW00031,C35+0275125150
01135B2D7DEC20000AW00031,C35+0300125150
01135B2D7DFC20000AW00031,C35+0325125150
01135B2D7DGC20000AW00031,C35+0350125150
01135B2D7DHC20000AW00031,C35+0375125150
01135B2D7DJC20000AW00031,C35+0400125150
01135B2D7DKC20000AW00031,C35+0425125150
01135B2D7DLC20000AW00031,C35+0450125150
01135B2D7DMC20000AW00031,C35+0475125150
01135B2D7DNC20000AW00031,C35+0500125150
01135B2D7DPC20000AW00031,C35+0525125150
01135B2D7DQC20000AW00031,C35+0550125150
01135B2D7DRC20000AW00031,C35+0575125150
01135B2D7DSC20000AW00031,C35+0600125150
01135B2D7CSC30000AW00031,C35+0025175150
01135B2D7CTC30000AW00031,C35+0050175150
01135B2D7CUC30000AW00031,C35+0075175150
01135B2D7CVC30000AW00031,C35+0100175150
01135B2D7CWC30000AW00031,C35+0125175150
01135B2D7CYC30000AW00031,C35+0150175150
01135B2D7CXC30000AW00031,C35+0175175150
01135B2D7CZC30000AW00031,C35+0200175150
01135B2D7DAC30000AW00031,C35+0225175150
01135B2D7DBC30000AW00031,C35+0250175150
01135B2D7DCC30000AW00031,C35+0275175150
01135B2D7DEC30000AW00031,C35+0300175150
01135B2D7DFC30000AW00031,C35+0325175150
01135B2D7DGC30000AW00031,C35+0350175150
01135B2D7DHC30000AW00031,C35+0375175150
01135B2D7DJC30000AW00031,C35+0400175150
01135B2D7DKC30000AW00031,C35+0425175150
01135B2D7DLC30000AW00031,C35+0450175150
01135B2D7DMC30000AW00031,C35+0475175150
01135B2D7DNC30000AW00031,C35+0500175150
01135B2D7DPC30000AW00031,C35+0525175150
01135B2D7DQC30000AW00031,C35+0550175150
01135B2D7DRC30000AW00031,C35+0575175150
01135B2D7DSC30000AW00031,C35+0600175150
01135B2D7CSC40000AW00031,C35+0025225150
01135B2D7CTC40000AW00031,C35+0050225150
01135B2D7CUC40000AW00031,C35+0075225150
01135B2D7CVC40000AW00031,C35+0100225150
01135B2D7CWC40000AW00031,C35+0125225150
01135B2D7CYC40000AW00031,C35+0150225150
01135B2D7CXC40000AW00031,C35+0175225150
01135B2D7CZC40000AW00031,C35+0200225150
01135B2D7DAC40000AW00031,C35+0225225150
01135B2D7DBC40000AW00031,C35+0250225150
01135B2D7DCC40000AW00031,C35+0275225150
01135B2D7DEC40000AW00031,C35+0300225150
01135B2D7DFC40000AW00031,C35+0325225150
01135B2D7DGC40000AW00031,C35+0350225150
01135B2D7DHC40000AW00031,C35+0375225150
01135B2D7DJC40000AW00031,C35+0400225150
01135B2D7DKC40000AW00031,C35+0425225150
01135B2D7DLC40000AW00031,C35+0450225150
01135B2D7DMC40000AW00031,C35+0475225150
01135B2D7DNC40000AW00031,C35+0500225150
01135B2D7DPC40000AW00031,C35+0525225150
01135B2D7DQC40000AW00031,C35+0550225150
01135B2D7DRC40000AW00031,C35+0575225150
01135B2D7DSC40000AW00031,C35+0600225150
01135B2D7CRC10000AY00031,C35-0000075160
01135B2D7CQC10000AY00031,C35-0025075160
01135B2D7CPC10000AY00031,C35-0050075160
01135B2D7CNC10000AY00031,C35-0075075160
01135B2D7CMC10000AY00031,C35-0100075160
01135B2D7CLC10000AY00031,C35-0125075160
01135B2D7CKC10000AY00031,C35-0150075160
01135B2D7CJC10000AY00031,C35-0175075160
01135B2D7CHC10000AY00031,C35-0200075160
01135B2D7CGC10000AY00031,C35-0225075160
01135B2D7CFC10000AY00031,C35-0250075160
01135B2D7CEC10000AY00031,C35-0275075160
01135B2D7CDC10000AY00031,C35-0300075160
01135B2D7CBC10000AY00031,C35-0325075160
01135B2D7CAC10000AY00031,C35-0350075160
01135B2D7BZC10000AY00031,C35-0375075160
01135B2D7BYC10000AY00031,C35-0400075160
01135B2D7BXC10000AY00031,C35-0425075160
01135B2D7BWC10000AY00031,C35-0450075160
01135B2D7BVC10000AY00031,C35-0475075160
01135B2D7BUC10000AY00031,C35-0500075160
01135B2D7BTC10000AY00031,C35-0525075160
01135B2D7BSC10000AY00031,C35-0550075160
01135B2D7BRC10000AY00031,C35-0575075160
01135B2D7BQC10000AY00031,C35-0600075160
01135B2D7BNC10000AY00031,C35-0650075160
01135B2D7BLC10000AY00031,C35-0700075160
01135B2D7BJC10000AY00031,C35-0750075160
01135B2D7BGC10000AY00031,C35-0800075160
01135B2D7BEC10000AY00031,C35-0850075160
01135B2D7BCC10000AY00031,C35-0900075160
01135B2D7CRC20000AY00031,C35-0000125160
01135B2D7CQC20000AY00031,C35-0025125160
01135B2D7CPC20000AY00031,C35-0050125160
01135B2D7CNC20000AY00031,C35-0075125160
01135B2D7CMC20000AY00031,C35-0100125160
01135B2D7CLC20000AY00031,C35-0125125160
01135B2D7CKC20000AY00031,C35-0150125160
01135B2D7CJC20000AY00031,C35-0175125160
01135B2D7CHC20000AY00031,C35-0200125160
01135B2D7CGC20000AY00031,C35-0225125160
01135B2D7CFC20000AY00031,C35-0250125160
01135B2D7CEC20000AY00031,C35-0275125160
01135B2D7CDC20000AY00031,C35-0300125160
01135B2D7CBC20000AY00031,C35-0325125160
01135B2D7CAC20000AY00031,C35-0350125160
01135B2D7BZC20000AY00031,C35-0375125160
01135B2D7BYC20000AY00031,C35-0400125160
01135B2D7BXC20000AY00031,C35-0425125160
01135B2D7BWC20000AY00031,C35-0450125160
01135B2D7BVC20000AY00031,C35-0475125160
01135B2D7BUC20000AY00031,C35-0500125160
01135B2D7BTC20000AY00031,C35-0525125160
01135B2D7BSC20000AY00031,C35-0550125160
01135B2D7BRC20000AY00031,C35-0575125160
01135B2D7BQC20000AY00031,C35-0600125160
01135B2D7BNC20000AY00031,C35-0650125160
01135B2D7BLC20000AY00031,C35-0700125160
01135B2D7BJC20000AY00031,C35-0750125160
01135B2D7BGC20000AY00031,C35-0800125160
01135B2D7BEC20000AY00031,C35-0850125160
01135B2D7BCC20000AY00031,C35-0900125160
01135B2D7CRC30000AY00031,C35-0000175160
01135B2D7CQC30000AY00031,C35-0025175160
01135B2D7CPC30000AY00031,C35-0050175160
01135B2D7CNC30000AY00031,C35-0075175160
01135B2D7CMC30000AY00031,C35-0100175160
01135B2D7CLC30000AY00031,C35-0125175160
01135B2D7CKC30000AY00031,C35-0150175160
01135B2D7CJC30000AY00031,C35-0175175160
01135B2D7CHC30000AY00031,C35-0200175160
01135B2D7CGC30000AY00031,C35-0225175160
01135B2D7CFC30000AY00031,C35-0250175160
01135B2D7CEC30000AY00031,C35-0275175160
01135B2D7CDC30000AY00031,C35-0300175160
01135B2D7CBC30000AY00031,C35-0325175160
01135B2D7CAC30000AY00031,C35-0350175160
01135B2D7BZC30000AY00031,C35-0375175160
01135B2D7BYC30000AY00031,C35-0400175160
01135B2D7BXC30000AY00031,C35-0425175160
01135B2D7BWC30000AY00031,C35-0450175160
01135B2D7BVC30000AY00031,C35-0475175160
01135B2D7BUC30000AY00031,C35-0500175160
01135B2D7BTC30000AY00031,C35-0525175160
01135B2D7BSC30000AY00031,C35-0550175160
01135B2D7BRC30000AY00031,C35-0575175160
01135B2D7BQC30000AY00031,C35-0600175160
01135B2D7BNC30000AY00031,C35-0650175160
01135B2D7BLC30000AY00031,C35-0700175160
01135B2D7BJC30000AY00031,C35-0750175160
01135B2D7BGC30000AY00031,C35-0800175160
01135B2D7BEC30000AY00031,C35-0850175160
01135B2D7BCC30000AY00031,C35-0900175160
01135B2D7CRC40000AY00031,C35-0000225160
01135B2D7CQC40000AY00031,C35-0025225160
01135B2D7CPC40000AY00031,C35-0050225160
01135B2D7CNC40000AY00031,C35-0075225160
01135B2D7CMC40000AY00031,C35-0100225160
01135B2D7CLC40000AY00031,C35-0125225160
01135B2D7CKC40000AY00031,C35-0150225160
01135B2D7CJC40000AY00031,C35-0175225160
01135B2D7CHC40000AY00031,C35-0200225160
01135B2D7CGC40000AY00031,C35-0225225160
01135B2D7CFC40000AY00031,C35-0250225160
01135B2D7CEC40000AY00031,C35-0275225160
01135B2D7CDC40000AY00031,C35-0300225160
01135B2D7CBC40000AY00031,C35-0325225160
01135B2D7CAC40000AY00031,C35-0350225160
01135B2D7BZC40000AY00031,C35-0375225160
01135B2D7BYC40000AY00031,C35-0400225160
01135B2D7BXC40000AY00031,C35-0425225160
01135B2D7BWC40000AY00031,C35-0450225160
01135B2D7BVC40000AY00031,C35-0475225160
01135B2D7BUC40000AY00031,C35-0500225160
01135B2D7BTC40000AY00031,C35-0525225160
01135B2D7BSC40000AY00031,C35-0550225160
01135B2D7BRC40000AY00031,C35-0575225160
01135B2D7BQC40000AY00031,C35-0600225160
01135B2D7BNC40000AY00031,C35-0650225160
01135B2D7BLC40000AY00031,C35-0700225160
01135B2D7BJC40000AY00031,C35-0750225160
01135B2D7BGC40000AY00031,C35-0800225160
01135B2D7BEC40000AY00031,C35-0850225160
01135B2D7BCC40000AY00031,C35-0900225160
01135B2D7CRC70000AY00031,C35-0000275160
01135B2D7CQC70000AY00031,C35-0025275160
01135B2D7CPC70000AY00031,C35-0050275160
01135B2D7CNC70000AY00031,C35-0075275160
01135B2D7CMC70000AY00031,C35-0100275160
01135B2D7CLC70000AY00031,C35-0125275160
01135B2D7CKC70000AY00031,C35-0150275160
01135B2D7CJC70000AY00031,C35-0175275160
01135B2D7CHC70000AY00031,C35-0200275160
01135B2D7CGC70000AY00031,C35-0225275160
01135B2D7CFC70000AY00031,C35-0250275160
01135B2D7CEC70000AY00031,C35-0275275160
01135B2D7CDC70000AY00031,C35-0300275160
01135B2D7CBC70000AY00031,C35-0325275160
01135B2D7CAC70000AY00031,C35-0350275160
01135B2D7BZC70000AY00031,C35-0375275160
01135B2D7BYC70000AY00031,C35-0400275160
01135B2D7BXC70000AY00031,C35-0425275160
01135B2D7BWC70000AY00031,C35-0450275160
01135B2D7BVC70000AY00031,C35-0475275160
01135B2D7BUC70000AY00031,C35-0500275160
01135B2D7BTC70000AY00031,C35-0525275160
01135B2D7BSC70000AY00031,C35-0550275160
01135B2D7BRC70000AY00031,C35-0575275160
01135B2D7BQC70000AY00031,C35-0600275160
01135B2D7BNC70000AY00031,C35-0650275160
01135B2D7BLC70000AY00031,C35-0700275160
01135B2D7BJC70000AY00031,C35-0750275160
01135B2D7BGC70000AY00031,C35-0800275160
01135B2D7BEC70000AY00031,C35-0850275160
01135B2D7BCC70000AY00031,C35-0900275160
01135B2D7CSC10000AY00031,C35+0025075160
01135B2D7CTC10000AY00031,C35+0050075160
01135B2D7CUC10000AY00031,C35+0075075160
01135B2D7CVC10000AY00031,C35+0100075160
01135B2D7CWC10000AY00031,C35+0125075160
01135B2D7CYC10000AY00031,C35+0150075160
01135B2D7CXC10000AY00031,C35+0175075160
01135B2D7CZC10000AY00031,C35+0200075160
01135B2D7DAC10000AY00031,C35+0225075160
01135B2D7DBC10000AY00031,C35+0250075160
01135B2D7DCC10000AY00031,C35+0275075160
01135B2D7DEC10000AY00031,C35+0300075160
01135B2D7DFC10000AY00031,C35+0325075160
01135B2D7DGC10000AY00031,C35+0350075160
01135B2D7DHC10000AY00031,C35+0375075160
01135B2D7DJC10000AY00031,C35+0400075160
01135B2D7DKC10000AY00031,C35+0425075160
01135B2D7DLC10000AY00031,C35+0450075160
01135B2D7DMC10000AY00031,C35+0475075160
01135B2D7DNC10000AY00031,C35+0500075160
01135B2D7DPC10000AY00031,C35+0525075160
01135B2D7DQC10000AY00031,C35+0550075160
01135B2D7DRC10000AY00031,C35+0575075160
01135B2D7DSC10000AY00031,C35+0600075160
01135B2D7CSC20000AY00031,C35+0025125160
01135B2D7CTC20000AY00031,C35+0050125160
01135B2D7CUC20000AY00031,C35+0075125160
01135B2D7CVC20000AY00031,C35+0100125160
01135B2D7CWC20000AY00031,C35+0125125160
01135B2D7CYC20000AY00031,C35+0150125160
01135B2D7CXC20000AY00031,C35+0175125160
01135B2D7CZC20000AY00031,C35+0200125160
01135B2D7DAC20000AY00031,C35+0225125160
01135B2D7DBC20000AY00031,C35+0250125160
01135B2D7DCC20000AY00031,C35+0275125160
01135B2D7DEC20000AY00031,C35+0300125160
01135B2D7DFC20000AY00031,C35+0325125160
01135B2D7DGC20000AY00031,C35+0350125160
01135B2D7DHC20000AY00031,C35+0375125160
01135B2D7DJC20000AY00031,C35+0400125160
01135B2D7DKC20000AY00031,C35+0425125160
01135B2D7DLC20000AY00031,C35+0450125160
01135B2D7DMC20000AY00031,C35+0475125160
01135B2D7DNC20000AY00031,C35+0500125160
01135B2D7DPC20000AY00031,C35+0525125160
01135B2D7DQC20000AY00031,C35+0550125160
01135B2D7DRC20000AY00031,C35+0575125160
01135B2D7DSC20000AY00031,C35+0600125160
01135B2D7CSC30000AY00031,C35+0025175160
01135B2D7CTC30000AY00031,C35+0050175160
01135B2D7CUC30000AY00031,C35+0075175160
01135B2D7CVC30000AY00031,C35+0100175160
01135B2D7CWC30000AY00031,C35+0125175160
01135B2D7CYC30000AY00031,C35+0150175160
01135B2D7CXC30000AY00031,C35+0175175160
01135B2D7CZC30000AY00031,C35+0200175160
01135B2D7DAC30000AY00031,C35+0225175160
01135B2D7DBC30000AY00031,C35+0250175160
01135B2D7DCC30000AY00031,C35+0275175160
01135B2D7DEC30000AY00031,C35+0300175160
01135B2D7DFC30000AY00031,C35+0325175160
01135B2D7DGC30000AY00031,C35+0350175160
01135B2D7DHC30000AY00031,C35+0375175160
01135B2D7DJC30000AY00031,C35+0400175160
01135B2D7DKC30000AY00031,C35+0425175160
01135B2D7DLC30000AY00031,C35+0450175160
01135B2D7DMC30000AY00031,C35+0475175160
01135B2D7DNC30000AY00031,C35+0500175160
01135B2D7DPC30000AY00031,C35+0525175160
01135B2D7DQC30000AY00031,C35+0550175160
01135B2D7DRC30000AY00031,C35+0575175160
01135B2D7DSC30000AY00031,C35+0600175160
01135B2D7CSC40000AY00031,C35+0025225160
01135B2D7CTC40000AY00031,C35+0050225160
01135B2D7CUC40000AY00031,C35+0075225160
01135B2D7CVC40000AY00031,C35+0100225160
01135B2D7CWC40000AY00031,C35+0125225160
01135B2D7CYC40000AY00031,C35+0150225160
01135B2D7CXC40000AY00031,C35+0175225160
01135B2D7CZC40000AY00031,C35+0200225160
01135B2D7DAC40000AY00031,C35+0225225160
01135B2D7DBC40000AY00031,C35+0250225160
01135B2D7DCC40000AY00031,C35+0275225160
01135B2D7DEC40000AY00031,C35+0300225160
01135B2D7DFC40000AY00031,C35+0325225160
01135B2D7DGC40000AY00031,C35+0350225160
01135B2D7DHC40000AY00031,C35+0375225160
01135B2D7DJC40000AY00031,C35+0400225160
01135B2D7DKC40000AY00031,C35+0425225160
01135B2D7DLC40000AY00031,C35+0450225160
01135B2D7DMC40000AY00031,C35+0475225160
01135B2D7DNC40000AY00031,C35+0500225160
01135B2D7DPC40000AY00031,C35+0525225160
01135B2D7DQC40000AY00031,C35+0550225160
01135B2D7DRC40000AY00031,C35+0575225160
01135B2D7DSC40000AY00031,C35+0600225160
01135B2D7CRC10000B000031,C35-0000075170
01135B2D7CQC10000B000031,C35-0025075170
01135B2D7CPC10000B000031,C35-0050075170
01135B2D7CNC10000B000031,C35-0075075170
01135B2D7CMC10000B000031,C35-0100075170
01135B2D7CLC10000B000031,C35-0125075170
01135B2D7CKC10000B000031,C35-0150075170
01135B2D7CJC10000B000031,C35-0175075170
01135B2D7CHC10000B000031,C35-0200075170
01135B2D7CGC10000B000031,C35-0225075170
01135B2D7CFC10000B000031,C35-0250075170
01135B2D7CEC10000B000031,C35-0275075170
01135B2D7CDC10000B000031,C35-0300075170
01135B2D7CBC10000B000031,C35-0325075170
01135B2D7CAC10000B000031,C35-0350075170
01135B2D7BZC10000B000031,C35-0375075170
01135B2D7BYC10000B000031,C35-0400075170
01135B2D7BXC10000B000031,C35-0425075170
01135B2D7BWC10000B000031,C35-0450075170
01135B2D7BVC10000B000031,C35-0475075170
01135B2D7BUC10000B000031,C35-0500075170
01135B2D7BTC10000B000031,C35-0525075170
01135B2D7BSC10000B000031,C35-0550075170
01135B2D7BRC10000B000031,C35-0575075170
01135B2D7BQC10000B000031,C35-0600075170
01135B2D7BNC10000B000031,C35-0650075170
01135B2D7BLC10000B000031,C35-0700075170
01135B2D7BJC10000B000031,C35-0750075170
01135B2D7BGC10000B000031,C35-0800075170
01135B2D7BEC10000B000031,C35-0850075170
01135B2D7BCC10000B000031,C35-0900075170
